Waktu,X1,X2,X3,X4,X5,Xt
1/1/2018 0:00,0.0325,0.0425,0.01,13387,866540.51,569763
1/2/2018 0:00,0.0318,0.0425,0.0107,13740,846933.6,579873
1/3/2018 0:00,0.034,0.0425,0.0085,13760,893574.4,583934
1/4/2018 0:00,0.0341,0.0425,0.0084,13910,953808.7,594163
1/5/2018 0:00,0.0323,0.045,0.0127,13890,931185.6,589993
1/6/2018 0:00,0.0312,0.0475,0.0163,14325,1062198.75,582150
1/7/2018 0:00,0.032,0.05,0.018,14485,995988.6,598000
1/8/2018 0:00,0.0315,0.055,0.0235,14710,1026758,601250
1/9/2018 0:00,0.0288,0.0575,0.0287,14900,1091425,610000
1/10/2018 0:00,0.0316,0.0575,0.0259,15230,994671.3,625000
1/11/2018 0:00,0.0323,0.06,0.0277,14350,730845.5,650000
1/12/2018 0:00,0.0313,0.06,0.0287,14481,657582.21,658000
1/1/2019 0:00,0.0282,0.06,0.0318,14080,757363.2,660000
1/2/2019 0:00,0.0257,0.06,0.0343,14020,802224.4,665000
1/3/2019 0:00,0.0248,0.06,0.0352,14240,856393.6,670000
1/4/2019 0:00,0.0283,0.06,0.0317,14170,905604.7,672000
1/5/2019 0:00,0.0332,0.06,0.0268,14350,767725,675000
1/6/2019 0:00,0.0328,0.06,0.0272,14130,826181.1,678000
1/7/2019 0:00,0.0332,0.0575,0.0243,14020,821291.6,680000
1/8/2019 0:00,0.0349,0.055,0.0201,14230,784073,750000
1/9/2019 0:00,0.0339,0.0525,0.0186,14180,766712.6,760000
1/10/2019 0:00,0.0313,0.05,0.0187,14050,761229,765000
1/11/2019 0:00,0.03,0.05,0.02,14120,779000.4,770000
1/12/2019 0:00,0.0272,0.05,0.0228,13870,846902.2,775000
1/1/2020 0:00,0.0268,0.05,0.0232,13680,705340.8,780000
1/2/2020 0:00,0.0298,0.0475,0.0177,14250,637830,785000
1/3/2020 0:00,0.0296,0.045,0.0154,16367,335196.16,850000
1/4/2020 0:00,0.0267,0.045,0.0183,14860,279962.4,940000
1/5/2020 0:00,0.0219,0.045,0.0231,14730,522767.7,930000
1/6/2020 0:00,0.0196,0.0425,0.0229,14280,560775.6,920000
1/7/2020 0:00,0.0154,0.04,0.0246,14630,589150.1,1020000
1/8/2020 0:00,0.0132,0.04,0.0268,14550,619975.5,1010000
1/9/2020 0:00,0.0142,0.04,0.0258,14860,597669.2,1000000
1/10/2020 0:00,0.0144,0.04,0.0256,14650,524323.5,990000
1/11/2020 0:00,0.0159,0.0375,0.0216,14140,641107.6,980000
1/12/2020 0:00,0.0168,0.0375,0.0207,14050,681706,960000
1/1/2021 0:00,0.0155,0.0375,0.022,14000,730800,950000
1/2/2021 0:00,0.0138,0.035,0.0212,14250,876375,940000
1/3/2021 0:00,0.0137,0.035,0.0213,14470,856045.2,930000
1/4/2021 0:00,0.0142,0.035,0.0208,14520,923181.6,920000
1/5/2021 0:00,0.0168,0.035,0.0182,14300,948376,910000
1/6/2021 0:00,0.0196,0.035,0.0154,14500,1065315,900000
1/7/2021 0:00,0.0209,0.035,0.0141,14450,1068577.5,890000
1/8/2021 0:00,0.0218,0.035,0.0132,14350,982975,880000
1/9/2021 0:00,0.0213,0.035,0.0137,14250,1069177.5,870000
1/10/2021 0:00,0.0221,0.035,0.0129,14150,1182515.5,860000
1/11/2021 0:00,0.0241,0.035,0.0109,14350,949683,850000
1/12/2021 0:00,0.026,0.035,0.009,14250,1071742.5,840000
1/1/2022 0:00,0.0268,0.035,0.0082,14370,1266715.5,830000
1/2/2022 0:00,0.0262,0.035,0.0088,14380,1376453.6,820000
1/3/2022 0:00,0.0305,0.035,0.0045,14360,1440020.8,810000
1/4/2022 0:00,0.0347,0.035,0.0003,14450,1512770.5,850000
1/5/2022 0:00,0.0355,0.035,0.0005,14600,1674182,890000
1/6/2022 0:00,0.0435,0.0375,0.006,14850,1570536,930000
1/7/2022 0:00,0.0494,0.0375,0.0119,14900,1469438,970000
1/8/2022 0:00,0.0469,0.0375,0.0094,14850,1329817.5,960000
1/9/2022 0:00,0.0461,0.0425,0.0036,15200,1208248,950000
1/10/2022 0:00,0.0473,0.0475,0.0002,15550,1345541.5,940000
1/11/2022 0:00,0.0542,0.0525,0.0017,15750,1268820,980000
1/12/2022 0:00,0.0551,0.055,0.0001,15550,1251308.5,1020000
1/1/2023 0:00,0.0528,0.0575,0.0047,15000,1201650,1030000
1/2/2023 0:00,0.0547,0.0575,0.0028,15250,1175012.5,1015000
1/3/2023 0:00,0.0497,0.0575,0.0078,15050,1138833.5,1010000
1/4/2023 0:00,0.0433,0.0575,0.0142,14750,1132505,1050000
1/5/2023 0:00,0.04,0.0575,0.0175,14950,1017945.5,1040000
1/6/2023 0:00,0.0352,0.0575,0.0223,15000,1059600,1060000
1/7/2023 0:00,0.0308,0.0575,0.0267,15125,1237225,954199
1/8/2023 0:00,0.0327,0.0575,0.0248,15225,1273266.75,950151
1/9/2023 0:00,0.0228,0.0575,0.0347,15450,1402705.5,920863
1/10/2023 0:00,0.0256,0.0575,0.0319,15880,1286597.6,1010881
1/11/2023 0:00,0.0286,0.06,0.0314,15505,1177759.8,1020548
1/12/2023 0:00,0.0261,0.06,0.0339,15395,1103051.75,1020702
1/1/2024 0:00,0.0257,0.06,0.0343,15775,1196533.75,1034609
1/2/2024 0:00,0.0275,0.06,0.0325,15710,1229464.6,1032718
1/3/2024 0:00,0.0305,0.06,0.0295,15850,1318244.5,1144430
1/4/2024 0:00,0.03,0.06,0.03,16255,1331772.15,1198769
1/5/2024 0:00,0.0284,0.0625,0.0341,16245,1250702.55,1216236
1/6/2024 0:00,0.0251,0.0625,0.0374,16370,1334809.8,1222195
1/7/2024 0:00,0.0213,0.0625,0.0412,16255,1266427.05,1278844
1/8/2024 0:00,0.0212,0.0625,0.0413,15450,1136347.5,1250141
1/9/2024 0:00,0.0184,0.0625,0.0441,15135,1031752.95,1288365
1/10/2024 0:00,0.0171,0.06,0.0429,15690,1086689.4,1388652
1/11/2024 0:00,0.0155,0.06,0.0445,15840,1077120,1351090
1/12/2024 0:00,0.0157,0.06,0.0443,16090,1153974.8,1357613
1/1/2025 0:00,0.0076,0.0575,0.0499,16300,1182239,1465571
1/2/2025 0:00,-0.0009,0.0575,0.0584,16580,1156620.8,1518703
1/3/2025 0:00,0.0103,0.0575,0.0472,16560,1183708.8,1659994
1/4/2025 0:00,0.0195,0.0575,0.038,16600,966286,1745782
1/5/2025 0:00,0.016,0.055,0.039,16290,990269.1,1731187
1/6/2025 0:00,0.0187,0.055,0.0363,16235,1057060.85,1722603
1/7/2025 0:00,0.0237,0.0525,0.0288,16455,1139673.3,1738511
1/8/2025 0:00,0.0231,0.05,0.0269,16490,1055524.9,1826020
